"","symbol","X","et.avg","et.sd","pval.x","pval.t"
"113","01143.HK",1.02180175988211,-0.00502697250329634,0.284284486721182,1.98288133908845e-61,8.31610327771353e-11
"114","01145.HK",1.0638148223346,0.0385522716440842,0.401144470337345,6.36226657747118e-69,5.46170574538176e-24
"115","01146.HK",0.998341972797146,-0.0189162740318549,0.0840287380808897,2.96989711218432e-116,0.0161057655181382
"116","01148.HK",1.02036742751174,0.00530990943530924,0.116856006849276,4.61798760578649e-90,7.61807782845705e-07
"117","00115.HK",0.990161918436621,-0.0216492526430066,0.119349361361031,1.7752030240115e-203,1.29521120135029e-09
"118","01150.HK",1.01889513070058,-0.0151263213269335,0.166121268371463,6.59039604990653e-87,1.54277427634404e-07
"119","01153.HK",1.07573333680064,0.0150739790468975,0.049865334018421,0.0116924719041339,0.478330951591807
"120","01157.HK",0.97383386380824,-0.0221838645741373,0.0885326995478617,9.19972099459774e-122,0.898064822522715
"121","01159.HK",0.995328745694928,-0.0219915120475003,0.108611188271825,3.39253835627696e-29,0.117217492017821
"122","00116.HK",0.998916432511122,0.00568979544819444,0.076520831320779,2.5890987262688e-240,0.00896442217015814
"123","01160.HK",0.989257541074619,-0.012156918581081,0.137146603958131,3.09381754140944e-44,3.48773485474219e-08
"124","01161.HK",1.24908666073814,0.120977797409788,0.120107882473592,0.282465587472388,0.00844076477629692
"125","01163.HK",1.12824328262071,0.0141074031338064,0.135785392431916,0.000966974771123511,0.0158896408681878
"126","01164.HK",1.00549953909667,0.0135043184449172,0.136858392488144,1.23288396477128e-193,1.14854588628356e-11
"127","01166.HK",0.997261539197472,-0.0540242189865714,0.222694065996762,7.75871993999751e-154,2.25219527295685e-12
"128","01167.HK",3.33324473492059,0.295199226224836,0.0853837617403136,0.000237753167067407,0.859283440313496
"129","01168.HK",1.00671257275427,-0.00373276072830576,0.102861021668435,6.90114571879123e-217,2.02253071812275e-07
"130","00117.HK",1.01019296950149,0.00432458914060597,0.13376268426431,1.09212447110837e-139,8.63790093986195e-10
"131","01170.HK",1.01198282664497,0.0137615975024622,0.0789195883374919,7.37802165196024e-239,0.0025377770258
"132","01171.HK",1.00140793391448,0.00793850464990134,0.103617631503196,7.29942546279104e-216,0.000397458099832329
"133","01176.HK",1.00401448980345,0.00339557929724914,0.108762683045001,2.59621106608489e-62,2.41843023949576e-05
"134","01177.HK",1.00958205893656,0.0260015060884248,0.0888646225799774,5.23101738665684e-229,0.162480397676503
"135","01179.HK",1.53097159414076,0.0613205820784849,0.0629804250710147,0.00218539242321145,0.548811246416754
"136","00118.HK",1.0017558937088,0.00172413724852178,0.102486114043338,8.77492875981534e-217,9.0800541806196e-07
"137","01180.HK",1.00122781885093,-0.0114871119416012,0.139053618510423,5.27831483904217e-192,0.000136289970209852
"138","01181.HK",1.00478986810717,0.00434253866628382,0.0732513726082678,1.58424807208925e-130,6.87111486687434e-05
"139","01182.HK",1.00690216133953,-0.0239916826943984,0.210505928379232,4.26996640825417e-159,3.79143802185441e-08
"140","01183.HK",1.02040789002225,0.0492512707452689,0.120363098112399,1.66917416783984e-42,0.0651907198371675
"141","01184.HK",1.00539469610713,0.0233280469493763,0.0949714728178943,2.88902964846182e-223,1.23142626046707e-07
"142","01186.HK",0.992252255293975,-0.00852539494933924,0.0824199145655248,1.91654893470123e-169,0.00113462161403695
"143","00119.HK",0.993131397198364,-0.0060240534812473,0.101568520296352,8.22350184924579e-217,6.13970724045066e-05
"144","01193.HK",1.01066806877728,0.0254503885424921,0.108903846528677,1.43273466170345e-212,1.53314808000631e-13
"145","01194.HK",1.01123379582337,-0.021597362187269,0.161318126231065,8.19559354508189e-181,2.82429953514377e-09
"146","01195.HK",0.998930801015483,-0.0167362619595239,0.142654742624517,9.45000369249119e-190,5.21043204238211e-05
"147","01196.HK",1.01191925988797,0.0333227629490515,0.116548518340024,3.6395860129415e-207,2.30317034049416e-11
"148","01198.HK",1.01494809684217,0.0147018885770705,0.126720405002319,1.26555903884527e-200,0.000203462294445724
"149","01199.HK",1.0040992881884,0.00127797187863905,0.06412550984237,3.96210768303974e-255,0.0148627791903396
"150","00012.HK",1.0026332627237,0.00461731961135803,0.0433610353776393,6.52737008045447e-287,0.0146876852641439
"151","00120.HK",0.995270223754477,0.00295256948080633,0.193120655412815,4.58398917187435e-165,4.88227715696586e-08
"152","01200.HK",1.0045100838479,-0.00225095855185422,0.0895429706729136,5.58079753923321e-228,0.0457190491097003
"153","01201.HK",1.00130234565514,-0.00878927240094536,0.108234964851578,2.58115153127909e-212,3.4756203070094e-08
"154","01202.HK",1.00860464155289,0.0107073212727232,0.102171919094262,1.38155558766535e-217,6.40761625336937e-12
"155","01203.HK",1.00539660454072,0.00193776113749234,0.0605027759856391,5.67139832677493e-260,3.06455655068638e-06
"156","01205.HK",1.00274000488267,-0.00380738184224953,0.106702873369704,1.37382153268788e-213,2.04244397100713e-05
"157","01206.HK",1.03909813787568,0.0231702959483926,0.100744421235601,1.36859492609979e-110,2.60903959144473e-05
"158","01207.HK",1.00584416435667,-0.0107851811297765,0.117729748297033,7.36748912981961e-206,1.71412616601665e-14
"159","01208.HK",1.00984375437193,0.00943550528373673,0.107077661578559,7.07039326832501e-214,0.025759065714915
"160","01209.HK",1.59272522789868,0.0932921443387008,0.0592164284257518,0.00328186985887481,0.598547131894301
"161","01210.HK",1.00684256482862,-0.0142817023988112,0.123686456056225,7.47420430589741e-96,1.52942090209807e-10
"162","01211.HK",1.00340635613234,0.023811509771153,0.129410755364011,5.37517730079698e-198,5.25332111999001e-06
"163","01212.HK",0.996630067085186,-0.00513414394211388,0.066612398450457,2.02425083645994e-251,0.0165980879230958
"164","01216.HK",1.00375946827798,-0.0109050896841614,0.0632703486056409,1.65660156398092e-61,0.00424074102185808
