Date, Open, High, Low, Close
08/26/21, 25673.78, 25706.62, 25255.83, 25415.69
08/25/21, 25930.05, 25982.64, 25548.47, 25693.95
08/24/21, 25428.68, 25727.92, 25361.75, 25727.92
08/23/21, 25169.45, 25458.33, 25036.99, 25109.59
08/20/21, 25241.32, 25244.75, 24581.60, 24849.72
08/19/21, 25787.84, 25832.92, 25183.67, 25316.33
08/18/21, 25800.03, 26025.14, 25708.95, 25867.01
08/17/21, 26137.90, 26258.79, 25615.38, 25745.87
08/16/21, 26365.19, 26449.71, 26046.90, 26181.46
08/13/21, 26296.19, 26521.95, 26200.24, 26391.62
08/12/21, 26623.77, 26713.24, 26385.45, 26517.82
08/11/21, 26491.74, 26822.47, 26454.45, 26660.16
08/10/21, 26456.61, 26610.95, 26138.87, 26605.62
08/09/21, 25969.23, 26527.24, 25920.85, 26283.40
08/06/21, 26262.97, 26276.87, 26002.41, 26179.40
08/05/21, 26390.01, 26569.37, 26126.37, 26204.69
08/04/21, 26161.83, 26650.82, 26009.83, 26426.55
08/03/21, 26289.06, 26289.06, 25774.62, 26194.82
08/02/21, 26054.81, 26300.55, 25743.09, 26235.80
07/30/21, 26042.84, 26151.00, 25636.89, 25961.03
07/29/21, 26221.36, 26335.36, 25857.42, 26315.32
07/28/21, 25356.74, 25520.75, 24848.43, 25473.88
07/27/21, 26011.51, 26323.61, 24748.84, 25086.43
07/26/21, 26825.73, 26878.75, 26177.40, 26192.32
07/23/21, 27740.95, 27740.95, 27222.04, 27321.98
07/22/21, 27464.28, 27759.71, 27455.43, 27723.84
07/21/21, 27339.22, 27371.50, 26971.03, 27224.58
07/20/21, 27395.83, 27532.86, 27121.49, 27259.25
07/19/21, 27786.54, 27786.54, 27397.29, 27489.78
07/16/21, 27972.56, 28218.53, 27878.53, 28004.68
07/15/21, 27801.40, 28181.21, 27741.09, 27996.27
07/14/21, 27965.39, 27965.39, 27708.71, 27787.46
07/13/21, 27694.03, 28052.32, 27612.69, 27963.41
07/12/21, 27672.70, 27741.19, 27420.35, 27515.24
07/09/21, 27131.57, 27450.79, 26861.87, 27344.54
07/08/21, 27881.50, 27921.06, 27110.62, 27153.13
07/07/21, 27777.81, 27969.41, 27703.41, 27960.62
07/06/21, 28136.63, 28151.35, 27904.53, 28072.86
07/05/21, 28098.91, 28338.79, 28042.71, 28143.50
07/02/21, 28859.02, 28859.02, 28231.73, 28310.42
06/30/21, 29107.90, 29146.28, 28827.70, 28827.95
06/29/21, 29291.89, 29291.89, 28924.61, 28994.10
06/28/21, 29366.49, 29394.69, 29209.43, 29268.30
06/25/21, 29002.67, 29305.17, 28971.60, 29288.22
06/24/21, 28865.46, 28993.37, 28782.34, 28882.46
06/23/21, 28468.24, 28893.79, 28406.61, 28817.07
06/22/21, 28575.16, 28579.00, 28299.66, 28309.76
06/21/21, 28501.64, 28590.22, 28314.93, 28489.00
06/18/21, 28586.04, 28830.85, 28532.08, 28801.27
06/17/21, 28240.88, 28558.59, 28216.09, 28558.59
06/16/21, 28609.37, 28648.64, 28403.64, 28436.84
06/15/21, 28946.44, 28946.44, 28453.48, 28638.53
06/11/21, 28864.90, 28965.15, 28743.82, 28842.13
06/10/21, 28792.02, 28954.40, 28664.94, 28738.88
06/09/21, 28771.14, 28859.58, 28687.69, 28742.63
06/08/21, 28900.52, 28979.20, 28638.31, 28781.38
06/07/21, 28985.60, 29003.99, 28615.61, 28787.28
06/04/21, 28837.95, 29023.18, 28737.97, 28918.10
06/03/21, 29365.32, 29377.90, 28902.67, 28966.03
06/02/21, 29414.64, 29490.61, 29208.73, 29297.62
06/01/21, 29159.06, 29480.16, 29036.45, 29468.00
05/31/21, 29225.46, 29225.46, 28909.52, 29151.80
05/28/21, 29219.46, 29336.13, 29033.72, 29124.41
05/27/21, 28998.39, 29157.95, 28950.72, 29113.20
05/26/21, 29056.28, 29261.86, 29027.95, 29166.01
05/25/21, 28461.50, 28929.24, 28461.50, 28910.86
05/24/21, 28417.99, 28444.36, 28195.52, 28412.26
05/21/21, 28584.34, 28584.34, 28286.92, 28458.44
05/20/21, 28413.49, 28508.24, 28293.23, 28450.29
05/18/21, 28438.03, 28617.34, 28438.03, 28593.81
05/17/21, 28130.51, 28268.39, 28074.14, 28194.09
05/14/21, 27872.69, 28064.01, 27715.88, 28027.57
05/13/21, 27920.01, 28060.93, 27718.67, 27718.67
05/12/21, 28073.92, 28231.04, 27897.47, 28231.04
05/11/21, 28286.56, 28286.56, 27910.71, 28013.81
05/10/21, 28776.99, 28842.11, 28453.14, 28595.66
05/07/21, 28721.13, 28884.03, 28530.71, 28610.65
05/06/21, 28647.97, 28753.97, 28384.12, 28637.46
05/05/21, 28427.67, 28677.36, 28325.96, 28417.98
05/04/21, 28438.15, 28577.52, 28321.34, 28557.14
05/03/21, 28659.91, 28684.83, 28256.03, 28357.54
04/30/21, 29143.43, 29154.75, 28701.69, 28724.88
04/29/21, 29268.21, 29405.12, 29162.87, 29303.26
04/28/21, 28991.94, 29071.34, 28887.33, 29071.34
04/27/21, 28895.38, 29045.11, 28793.22, 28941.54
04/26/21, 29106.45, 29238.99, 28908.65, 28952.83
04/23/21, 28798.45, 29078.75, 28748.57, 29078.75
04/22/21, 28716.98, 28848.02, 28597.00, 28755.34
04/21/21, 28702.27, 28778.36, 28506.76, 28621.92
04/20/21, 28962.80, 29220.19, 28885.55, 29135.73
04/19/21, 28960.13, 29319.76, 28806.76, 29106.15
04/16/21, 28827.17, 29079.18, 28711.11, 28969.71
04/15/21, 28872.82, 28884.57, 28530.99, 28793.14
04/14/21, 28796.55, 28979.35, 28685.06, 28900.83
04/13/21, 28557.84, 28877.15, 28452.12, 28497.25
04/12/21, 28791.97, 28791.97, 28274.27, 28453.28
04/09/21, 29152.44, 29152.44, 28604.55, 28698.80
04/08/21, 28604.12, 29054.82, 28587.11, 29008.07
04/07/21, 29101.40, 29101.40, 28598.86, 28674.80
04/01/21, 28594.55, 28938.74, 28511.65, 28938.74
03/31/21, 28802.53, 28802.53, 28332.78, 28378.35
03/30/21, 28552.77, 28694.15, 28371.23, 28577.50
03/29/21, 28317.32, 28484.66, 28132.36, 28338.30
03/26/21, 28043.65, 28415.15, 28014.29, 28336.43
03/25/21, 27628.08, 28032.01, 27505.08, 27899.61
03/24/21, 28437.49, 28457.87, 27827.05, 27918.14
03/23/21, 29008.02, 29043.18, 28376.22, 28497.38
03/22/21, 28801.09, 29139.07, 28801.09, 28885.34
03/19/21, 29158.48, 29271.40, 28737.54, 28990.94
03/18/21, 29317.61, 29596.58, 29317.61, 29405.72
03/17/21, 28992.24, 29180.01, 28780.23, 29034.12
03/16/21, 29036.82, 29118.62, 28872.40, 29027.69
03/15/21, 28923.95, 29178.99, 28612.74, 28833.76
