"","symbol","X","et.avg","et.sd","pval.x","pval.h","pval.t","r.squared","first.data.month"
"1525","06819.HK",0.990784138124568,0.0102902771318084,0.103201998147298,1.82800662678544e-30,0.217393763059511,0.476426452405402,0.989948173305854,2019-03-01
"1526","00682.HK",0.997660645703507,-0.0293351004876592,0.137548455798244,1.53493111771131e-191,0.65259419596281,3.97549118254457e-14,0.990623373875169,2006-02-01
"1527","06820.HK",0.878501066700402,-0.0524666807731217,0.153011862547937,5.35077749773201e-16,0.219191991109007,0.667237895347906,0.961885075578054,2019-10-01
"1528","06822.HK",1.00022705949946,0.00729577468013279,0.0653510179877926,2.0585027043323e-90,0.808976712030267,0.00154981533428053,0.994291041114659,2015-01-01
"1529","06823.HK",0.992835183675641,0.00160288508589239,0.0478654133229735,1.833272011935e-143,0.0116732473138418,0.697693748744769,0.996191214840498,2011-11-01
"1530","06826.HK",1.00063464037903,0.00138609232899987,0.0987454351843723,1.50966021870301e-73,0.758088605142392,0.00199270457451828,0.987203941992495,2015-04-01
"1531","06829.HK",1.01950829288792,0.00840987038214861,0.149630486385171,9.25406018520833e-37,0.44768823721687,0.000198252944103653,0.978875454408291,2018-02-01
"1532","00683.HK",1.00077595572734,0.00168595265080968,0.0610312539009098,1.7619015944745e-257,0.109687769888065,0.000209763362476755,0.998151312282598,2006-02-01
"1533","06830.HK",1.00818117440333,0.0155036671839816,0.136216058221287,6.12546293895058e-90,0.143506407575665,2.63439146272486e-12,0.971328177848979,2012-01-01
"1534","06833.HK",1.01563389775549,0.0241454181298419,0.174858583529145,4.89140129131952e-48,0.183615299432621,0.000208289349670773,0.96456571195678,2016-03-01
"1535","06836.HK",0.996837784102099,-0.00572287544025388,0.0919007470413458,3.92518126879205e-73,0.00631090202975491,0.84495475827361,0.989219890608668,2015-07-01
"1536","06837.HK",1.01017134080408,0.00341974665642707,0.0739324461808945,1.22044834673983e-117,0.112972899781464,1.53925913260656e-06,0.991424487272214,2012-04-01
"1537","06838.HK",0.97344618374902,-0.0209455524673189,0.0853153698459053,2.79582869718997e-116,0.467838717709418,0.0116503874223582,0.98717179778164,2011-07-01
"1538","06839.HK",1.00369842472753,-0.0173713881883006,0.0568527374901641,7.25344356273941e-91,0.727518141952677,0.00857142043522628,0.995769587121855,2015-05-01
"1539","00684.HK",1.00388892129559,0.00985179162742371,0.0735685951125184,1.36081913571543e-242,0.785370211141131,8.52090175367917e-09,0.99733319945179,2006-02-01
"1540","00685.HK",1.00270112040507,-0.00239154317507129,0.096191264588714,8.47139070876804e-221,0.692815579260002,6.36321862819704e-13,0.99543966481059,2006-02-01
"1541","06855.HK",1.03502270380276,0.0150090239199829,0.123186548977094,1.16740993587761e-19,0.877369688309677,0.286444633531295,0.980482332127756,2019-10-01
"1542","06858.HK",1.00358032334843,-0.0102367017355552,0.083722293170902,1.83806010907636e-61,0.919591689250467,0.859385257072862,0.991515073530526,2016-10-01
"1543","00686.HK",0.991168773483721,-0.00946584625246863,0.172154761237593,5.24812810925928e-173,0.80102306784968,8.24405379550972e-13,0.985200867773828,2006-02-01
"1544","06860.HK",1.01176700988894,-0.034923970571891,0.152153436615938,1.52199649673261e-32,0.685165409695331,0.882366344116761,0.978428777319599,2018-07-01
"1545","06862.HK",0.967514922777108,-0.0332438503769199,0.117798567074454,3.67627156494317e-34,0.604668808540729,0.94677947564926,0.985632087668386,2018-09-01
"1546","06865.HK",1.00230055432926,0.0413040875586247,0.157890390184325,1.68541460334534e-53,0.849238730534381,0.454782000980129,0.969179603517429,2015-11-01
"1547","06866.HK",1.00376521521161,-0.0110530739730033,0.0898744842089466,1.47976384476658e-79,0.467403367765595,4.57590022351313e-06,0.989297467365104,2015-01-01
"1548","06868.HK",0.974332250776245,-0.0189507894875568,0.0465944928449684,4.96091661285299e-146,0.0267657184855411,0.801484540903241,0.996199068956785,2011-09-01
"1549","06869.HK",1.02458985866506,0.0307037424772837,0.0914184425891401,1.25208845156824e-80,0.343043824060791,0.0176210648443912,0.989314248669557,2014-12-01
"1550","00687.HK",1.00015676989624,0.00697539343061544,0.0935063871382817,6.06911114644866e-219,0.438593048681919,2.96913962702705e-05,0.995492559970513,2006-04-01
"1551","06877.HK",0.996852874638785,-0.0348055540362516,0.0942430466408691,1.82236022735615e-46,0.639222960582725,0.0111940988575689,0.990641168905134,2017-12-01
"1552","06878.HK",1.0172994497213,0.0362992980826137,0.174266451290635,1.55787533123508e-65,0.880121641856562,1.55498320978872e-07,0.959602951213911,2013-12-01
"1553","00688.HK",0.994070632039473,0.00154138569849156,0.061221613404001,1.10504291495175e-256,0.700648742518602,0.879879958435395,0.998115060566137,2006-02-01
"1554","06880.HK",1.0148967853888,-0.00581982180791621,0.159142393321873,2.32966952474463e-83,0.62257463741191,1.21478219391055e-07,0.961296938437546,2011-12-01
"1555","06881.HK",1.01404472827734,0.00983434891300202,0.0861038719687777,1.84073166642955e-99,0.0712892042833849,5.64353096350785e-06,0.98928987859174,2013-05-01
"1556","06882.HK",1.01975702838317,0.00402609238201478,0.0907962839131475,1.40091710855455e-81,0.718113434893901,0.00017643037809702,0.989380600759055,2014-11-01
"1557","06885.HK",1.01044437595156,0.0250353608822266,0.0824157290026816,4.81405634499562e-51,0.531761930284175,0.00353486347033462,0.992794748477032,2017-10-01
"1558","06886.HK",1.00394716242829,-0.00132511979605516,0.0678650330108938,4.62535819620172e-85,0.145523343538387,0.0212439524579087,0.993953296442868,2015-05-01
"1559","06888.HK",1.01262211403378,-0.0128293950795588,0.0990696619096659,1.46795383882012e-92,0.703497128818275,1.9412293184427e-05,0.986062493773406,2013-06-01
"1560","06889.HK",0.99372914084716,-0.00982483383727233,0.0896326072602473,2.61792488149963e-104,0.594729215469649,6.91430648747794e-09,0.987463096886836,2012-08-01
"1561","00689.HK",1.00622957398446,-0.0321494362634242,0.197143742525219,2.1885934153559e-163,0.541026631989158,9.13084077048557e-05,0.981241014060948,2006-02-01
"1562","06890.HK",1.00156531768728,-0.00745935462602903,0.0598738782099882,1.50836459683154e-42,0.962604163111934,0.288044772453185,0.996454781265519,2018-11-01
"1563","06893.HK",0.996836701507887,-0.0189192808133522,0.0980623711298311,6.14855459084637e-79,0.360702997205725,0.0212400050613116,0.987055162933291,2014-10-01
"1564","06896.HK",0.999036083031968,-0.0117621593400353,0.127142615871698,6.12069948997225e-63,0.523768448326334,0.0100519492310097,0.979382038721167,2015-07-01
"1565","06898.HK",1.00875270650878,-0.00526086626856866,0.110049867274896,3.54816867349806e-87,0.748479722253616,0.000100921396440531,0.982813986408763,2013-07-01
"1566","06899.HK",1.02438383504862,-0.00409878917478589,0.147503062427785,3.2733687441633e-68,0.569221860914548,0.00135809525272778,0.97207002286214,2014-06-01
"1567","00069.HK",1.00350919423159,-0.00083100322150842,0.0591338627876362,2.91431926216627e-260,0.735280575978791,0.772320005991469,0.9982743214887,2006-02-01
"1568","06900.HK",1.19921448608959,0.0266658571499388,0.0391354603224676,0.00181054415290764,0.590519361358464,0.541489646786596,0.641930385009017,2020-11-01
"1569","06908.HK",1.02691425671304,0.114429849059317,0.340230202319736,5.86888861132525e-09,0.316208782345272,1.66216912395709e-07,0.85507925477563,2019-11-01
"1570","00691.HK",1.01054100334528,-0.000878112367402637,0.106468398569066,4.13933751131458e-35,0.372732630990638,0.0234469090073526,0.989041238066681,2018-10-01
"1571","06918.HK",0.859756600489345,-0.0339735996524741,0.110528553445048,8.29595752007172e-05,0.0314637362963897,0.00866774532266064,0.662989987540506,2020-03-01
"1572","06919.HK",0.86220835325577,-0.110140508782126,0.156936112920221,1.01559754948236e-12,0.535724127743338,1.42957244090868e-05,0.926141914030893,2019-12-01
"1573","06928.HK",1.05198675939316,0.0951923700703733,0.209378801059711,5.62168505823359e-12,0.981603296535001,4.23262851791183e-05,0.910467954095676,2019-12-01
"1574","00693.HK",1.00310136729134,0.00446081107324191,0.0535263152092959,2.62316631215381e-268,0.0351542815724754,0.0667631799019475,0.998584975078458,2006-02-01
"1575","06933.HK",0.494828773592962,-0.0279599403693257,0.298752524737156,0.444441384391334,0.921846913446432,0.1597501707282,0.0434739893532172,2020-07-01
"1576","06939.HK",1.37775913610288,0.0689564811377281,0.0600598448113335,0.0573500042734446,0.696348407818985,0.68170126369582,0.505951714882551,2021-03-01
"1577","00694.HK",0.995960596116877,-0.0046877167969911,0.0720585404427871,1.24782566684878e-243,0.83466833726105,0.0197001909203469,0.997400777000898,2006-02-01
"1578","00695.HK",0.997585772364788,0.00761806854679616,0.109077009050961,8.70658172060938e-97,0.0406087847463853,6.56218605914693e-15,0.981646993322067,2012-06-01
